task No.,task_name,start_time,end_time,execution_time,earliest_time,latest_time,resource_load
117,cam_ms.usp_csdc_ssdc_region_inv_data_offer_summary,231,243,12,4,1436,0.059
118,cam_ms.usp_csdc_ssdc_region_pushout_data_offer_summary,495,499,4,0,1437,0.047
119,cam_ms.usp_csdc_ssdc_region_sti_data_offer_summary,618,623,5,2,1439,0.036
120,cam_ms.usp_csdc_ssdc_sd_region_si_data_offer_summary,495,498,3,2,1436,0.038
121,cam_ms.usp_csdc_stock_adj_cam,1269,1270,1,2,1436,0.043
122,cam_ms.usp_csdc_sync_inv_age_cam,1269,1272,3,0,1438,0.035
123,cam_ms.usp_dim_acnt,1098,1099,1,1,1436,0.041
124,cam_ms.usp_dim_calendar,1125,1126,1,1,1439,0.031
125,cam_ms.usp_dim_isg_prc_calendar,903,904,1,0,1437,0.033
126,cam_ms.usp_dim_prc_acnt,1174,1178,4,4,1439,0.059
127,cam_ms.usp_dim_prc_business_unit_hier,383,387,4,0,1435,0.041
128,cam_ms.usp_dim_prc_cust_seg_hier,424,427,3,0,1435,0.045
129,cam_ms.usp_dim_prc_product,1256,1269,13,3,1438,0.031
130,cam_ms.usp_dim_prc_sales_product_base,424,427,3,0,1435,0.042
131,cam_ms.usp_dim_prc_sales_product_div_mapping,766,768,2,1,1437,0.051
132,cam_ms.usp_dim_prc_sales_product_hier,496,498,2,3,1435,0.052
133,cam_ms.usp_dim_prc_sales_solution_hier,498,500,2,3,1435,0.044
134,cam_ms.usp_dim_prc_sales_solution_instance,766,768,2,3,1437,0.03
135,cam_ms.usp_dim_prc_sell_through_in_acnt,1236,1237,1,2,1435,0.054
136,cam_ms.usp_fact_daily_lecoo_sell_in,1206,1208,2,4,1439,0.057
137,cam_ms.usp_fact_isg_prc_cust_and_product_seg_loads,618,620,2,2,1436,0.035
138,cam_ms.usp_fact_isg_prc_cust_seg_pipeline,1026,1028,2,3,1439,0.059
139,cam_ms.usp_fact_isg_prc_full_data,1178,1201,23,2,1439,0.036
140,cam_ms.usp_fact_isg_prc_full_data_hb_sb,1178,1184,6,3,1436,0.058
141,cam_ms.usp_fact_isg_prc_full_data_holographic,1178,1182,4,1,1435,0.036
142,cam_ms.usp_fact_isg_prc_full_data_jv,1186,1189,3,1,1439,0.032
143,cam_ms.usp_fact_isg_prc_full_data_manual_billing,1184,1188,4,1,1439,0.037
144,cam_ms.usp_fact_isg_prc_full_data_psidc,619,623,4,1,1438,0.059
145,cam_ms.usp_fact_isg_prc_full_data_srv,1178,1184,6,1,1438,0.04
146,cam_ms.usp_fact_isg_prc_order_fulfill_with_pipeline,1124,1135,11,4,1438,0.04
147,cam_ms.usp_fact_isg_prc_pipeline,1124,1131,7,4,1437,0.048
148,cam_ms.usp_fact_isg_prc_svc_order_fulfill_with_pipeline,1126,1127,1,2,1439,0.048
149,cam_ms.usp_fact_prc_agg_eff_sales_order,1227,1228,1,1,1435,0.037
150,cam_ms.usp_fact_prc_agg_sell_in,1223,1236,13,3,1436,0.036
151,cam_ms.usp_fact_prc_aggregated_sell_through_in,1271,1272,1,3,1435,0.047
152,cam_ms.usp_fact_prc_daily_aging_fgi,923,924,1,4,1435,0.048
153,cam_ms.usp_fact_prc_daily_eff_sales_order,1226,1227,1,4,1436,0.043
154,cam_ms.usp_fact_prc_daily_fgi_all,620,624,4,0,1438,0.057
155,cam_ms.usp_fact_prc_daily_fgi_wo_order,1122,1123,1,3,1436,0.037
156,cam_ms.usp_fact_prc_daily_sell_in,1220,1223,3,1,1435,0.035
157,cam_ms.usp_fact_prc_daily_sell_in_snapshot,1126,1127,1,0,1439,0.052
158,cam_ms.usp_fact_prc_daily_sell_in_target,620,621,1,3,1435,0.052
159,cam_ms.usp_fact_prc_daily_sell_through_in_target,1127,1128,1,1,1439,0.049
160,cam_ms.usp_fact_prc_idg_pc_daily_sell_in,498,502,4,1,1437,0.047
161,cam_ms.usp_fact_prc_idg_pc_sd_daily_sell_in,1127,1128,1,4,1439,0.03
162,cam_ms.usp_fact_prc_idg_sd_daily_sell_in,499,503,4,2,1437,0.046
163,cam_ms.usp_fact_prc_isg_backlog_snapshot,766,767,1,3,1436,0.042
164,cam_ms.usp_fact_prc_isg_daily_sell_in,621,624,3,4,1437,0.034
165,cam_ms.usp_fact_prc_isg_region_daily_sell_in,621,622,1,0,1435,0.035
166,cam_ms.usp_fact_prc_rel_contract_product,1027,1028,1,4,1438,0.031
167,cam_ms.usp_fact_prc_rel_opportunity,499,502,3,3,1436,0.048
168,cam_ms.usp_fact_prc_rel_order_detail,1128,1129,1,0,1439,0.059
169,cam_ms.usp_fact_prc_rel_order_plan_detail,903,905,2,1,1438,0.037
170,cam_ms.usp_fact_prc_rel_quotation_proj_approval,904,905,1,1,1437,0.037
171,cam_ms.usp_fact_prc_rel_quotation_proj_large_order,904,905,1,2,1437,0.053
172,cam_ms.usp_fact_prc_rel_quotation_proj_principal_information,499,504,5,4,1438,0.037
173,cam_ms.usp_fact_prc_rel_quotation_proj_product_information,243,253,10,1,1435,0.059
174,cam_ms.usp_fact_prc_rel_quotation_proj_product_information;,281,289,8,3,1435,0.048
175,cam_ms.usp_fact_prc_sell_through_in_adj_on_sell_in,766,767,1,0,1436,0.044
176,cam_ms.usp_fact_prc_smb_sti_bypn_jd_qty,1269,1271,2,0,1437,0.041
177,cam_ms.usp_fact_prc_ssdc_pushout_detail,1237,1252,15,4,1438,0.049
178,cam_ms.usp_fact_qtrly_idc_yoy,1027,1028,1,0,1438,0.037
179,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_fcst_trend,1128,1129,1,2,1439,0.052
180,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_overall_fcst,622,623,1,0,1435,0.03
181,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_industryline_fcst,767,769,2,0,1437,0.032
182,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_region_fcst,1129,1130,1,2,1439,0.05
183,cam_ms.usp_fgi_lecoo_ms_inventory,1027,1028,1,1,1438,0.036
184,cam_ms.usp_rel_pushout_detail_cam,1129,1130,1,1,1439,0.054
185,cam_ms.usp_smb_sync_sn_owner_cam,1220,1226,6,4,1435,0.034
186,cam_ms.usp_ssdc_fgi_cam,1247,1250,3,4,1437,0.037
187,cam_ms.usp_ssdc_inv_data_offer_summary,300,307,7,2,1435,0.03
188,cam_ms.usp_ssdc_pushout_data_offer_summary,383,388,5,1,1436,0.034
189,cam_ms.usp_ssdc_smb_aged_inv_by_product_no,1423,1430,7,3,1438,0.049
190,cam_ms.usp_ssdc_sti_data_offer_summary,500,503,3,2,1436,0.056
191,cam_ms.usp_ssdc_transfer_data_offer_summary,767,769,2,4,1437,0.035
192,cam_ms.usp_sti_region_picking_to_bw,302,309,7,0,1435,0.049
193,cam_ms_dim_dist_chnl_worldwide_full,502,505,3,2,1436,0.051
194,cam_ms_dim_order_rsn_worldwide_full,623,625,2,0,1436,0.057
195,cam_ms_dim_product_div_worldwide_full,502,505,3,3,1436,0.034
196,cam_ms_dim_sale_office_worldwide_full,503,506,3,0,1436,0.048
197,cam_ms_dim_sale_org_worldwide_full,767,770,3,2,1438,0.048
198,cam_ms_dim_sale_transaction_ln_catg_worldwide_full,424,427,3,0,1435,0.047
199,cam_ms_dim_sale_transaction_type_worldwide_full,623,626,3,4,1437,0.045
200,cam_ms_dim_svc_group_worldwide_full,424,427,3,3,1435,0.041
201,cam_ms_fact_prc_isg_gp_target_completion_qtrly_snapshot_prc_full,904,906,2,2,1438,0.045
202,cam_ms_fact_prc_isg_order_gp_qtrly_snapshot_prc_full,624,626,2,4,1436,0.039
203,cam_ms_fact_prc_isg_quotation_proj_gp_qtrly_snapshot_prc_full,904,906,2,4,1438,0.058
204,cam_ms_prc_manual_region_sale_actl_prc_full,904,906,2,0,1438,0.035
